,Job_Title,Company_Name,Job_Description
200,Mobile Developer - React Native,IKEN Technology,"Full Time · Experienced · 2+ Yrs of Exp · Information Technology (IT) · Computer Science · Mobile Development · React Native · RESTful · React-Native · Mobile · Json · Gradle · Android · APIs - November 12, 2020"
201,Oracle SOA Integration Developer,Ghassan Ahmed Alsulaiman for Electronic Services,"Full Time · Experienced · 4-6 Yrs of Exp · SOA · Oracle · Java · JSON · XML · Oracle SOA · SOAP · Information Technology (IT) · Computer Science · BPM · IT/Software Development - October 11, 2020"
202,Assistant Front End Angular Developer R1,YELO,"Full Time · Entry Level · 0-2 Yrs of Exp · Computer Engineering · Computer Science · javaScript · APIs · Angular · CSS · Angular 7+ · Angular CLI · JSON · RESTful APIs · HTML5 · Core · DOM - October 12, 2020"
203,Senior Test Automation Engineer,Zealous Solutions Ltd.,"Full Time · Work From Home · Experienced · 4+ Yrs of Exp · Software Testing · Testing · Automation Testing · Information Technology (IT) · QA · Agile · Selenium · javaScript · Java · Software - November 2, 2020"
204,Salesforce Developer / Admin,Flairstech,"Full Time · Experienced · 2+ Yrs of Exp · Eclipse · Visualforce · Salesforce Solutions · Picklists · Page Layouts · Computer Science · Computer Engineering · Information Technology (IT) · Apex - November 9, 2020"
205,Business Development Consultant,Smart GYM,"Full Time · Manager · 3+ Yrs of Exp · Females Only · Business Administration · Business · Business Development · Development · Sales Skills · Sales · Sales Target · Customer Support · Marketing - October 31, 2020"
206,Java Developer - Entry level,YELO,"Full Time · Entry Level · 0-1 Yrs of Exp · Information Technology (IT) · Computer Science · Java · SQL · APIs · RESTful APIs · RESTful · Spring · Computer Engineering · SOA · ORM · Java 8 - October 12, 2020"
207,AX Technical Developer,CompactSoft International,"Full Time · Experienced · 2-5 Yrs of Exp · Computer Science · .NET · X++ · Development · Programming · C# · Customer Support · Dynamics AX · ERP · Information Technology (IT) · Engineering - November 12, 2020"
208,Back-end Developer/PHP/JAVA - Remotely work,EMIRATES BARQ,"Full Time · Work From Home · Experienced · 3-5 Yrs of Exp · PHP · Web Development · Problem Solving · Development · Backend Developer · Computer Science · Java · Information Technology (IT) - November 11, 2020"
209,Unreal Developer, ,"Full Time · Experienced · 2-4 Yrs of Exp · Game Development · Design · Computer Science · Game · 3D · Information Technology (IT) · Game Design · IT/Software Development - October 27, 2020"
210,Junior Oracle Developer,Egyptian Takaful Property and Liability,"Full Time · Entry Level · 1-3 Yrs of Exp · SQL · PL/SQL · Crystal Reports · Computer Science · Oracle · Database · Information Technology (IT) · PL · PLSQL · Installation/Maintenance/Repair - October 10, 2020"
211,Business Developer,HPA (Highly Professional Advisors),"Full Time · Entry Level · 1-3 Yrs of Exp · Sales Skills · Sales · Sales Target · English · Corporate Sales · B2B · Education · E-learning · Learning Software · Business Administration - October 20, 2020"
212,Business Development Intern,Arrows,"Internship · Entry Level · 0-1 Yrs of Exp · Sales · Business Administration · Business Development · Marketing · Communication Skills · Market Research · English · Business · Administration - November 15, 2020"
213,SAP Sales Executive - Alexandria,Pharma Overseas,"Full Time · Experienced · 3-5 Yrs of Exp · Sales Skills · English · Microsoft Office · Software · SAP · Sales · Sales Target · Customer Service · BOM · ERP · IT/Software Development - November 15, 2020"
214,Business Development Executive,Social Peak,"Full Time · Entry Level · 1-3 Yrs of Exp · Business Development · Sales · Sales Skills · Sales Target · Digital · Communication Skills · Business Development - November 5, 2020"
215,Business Development Specialist,Statements for Consulting,"Full Time · Experienced · 4-6 Yrs of Exp · Business Administration · Sales · Business Development · Sales Skills · Sales Target · Finance · Marketing Research · Lead Generation · Selling · English - November 3, 2020"
216,Web User Interface Developer,Pefect Presentation,"Full Time · Experienced · 7-10 Yrs of Exp · Information Technology (IT) · UI · Web · Computer Science · Computer Engineering · Web Development · CSS · HTML · jQuery · Angular · C# · javaScript - November 1, 2020"
217,Senior Business Development Executive,Social Peak,"Full Time · Experienced · 4+ Yrs of Exp · Business Development · Sales · Sales Skills · Sales Target · Digital Agency · Business Development - November 5, 2020"
218,Account Manager - Digital Media & Marketing...,Raffles Advertising Creative House,"Full Time · Manager · 4-9 Yrs of Exp · Marketing · Social Media · Digital Marketing · Media · Business Administration · Content · Digital · Business · Creative · Administration · Web Analytics - October 18, 2020"
219,Microsoft Business Intelligence Developer,Tidal,"Full Time · Experienced · 3-6 Yrs of Exp · Business Intelligence · Computer Science · BI · SQL · C# · ASP.Net · Data Integration · Data Warehouse · ETL · TFS · Azure · DevOps · SSIS · Power BI - November 8, 2020"
220,Senior Front-End Developer,Youxel,"Full Time · Experienced · 2-4 Yrs of Exp · OOP · MV · HTML5 · CSS3 · RWD · CSS · javaScript · AngularJS · TFS · API · NG2 · NODEJS · Computer Science · Front End · Web Development · AJAX - November 2, 2020"
221,Drupal Developer,TechyTypes,"Full Time · Experienced · 2+ Yrs of Exp · Computer Science · Drupal · Information Technology (IT) · PHP · Development · SEO · Engineering · Telecom · Ajax · HTML · Javascript · CSS - October 18, 2020"
222,Business Development Manager, ,"Full Time · Manager · 10-15 Yrs of Exp · Business Development · Time Management · Sales Skills · Sales Target · Sales · English · Business Development · Sales/Retail - October 15, 2020"
223,Technical Engineer,Huawei Technologies Egypt,"Full Time · Experienced · 2+ Yrs of Exp · Software Development · Software Engineering · Engineering · Software · Android · Java · Computer Science · Kotlin · Business · Science · IS - October 6, 2020"
224,Business Development Specialist - Lighting Field,Electro,Full Time · Experienced · 3-5 Yrs of Exp · Business Development · Architecture · Engineering · Sales Skills · Sales · Engineering - Construction/Civil/Architecture · Business Development - New
225,Senior Oracle Developer - Apex,Englizya for public transportation,"Full Time · Experienced · 4-6 Yrs of Exp · Females Preferred · Apex · SQL · PL · Information Technology (IT) · Computer Science · Oracle · PL/SQL · Oracle PL/SQL · Oracle PL · Development - September 29, 2020"
226,Key Accounts Sales Admin,Talabat,"Full Time · Entry Level · 1-3 Yrs of Exp · Sales · Sales Skills · Sales Target · Marketing · Marketing Campaigns · Customer Service · Customer Care · Account Managment · Customer Relations · CRM - October 13, 2020"
227,Salesforce Developer / Admin,Flairstech,"Full Time · Experienced · 2+ Yrs of Exp · Eclipse · Visualforce · Salesforce Solutions · Picklists · Page Layouts · Computer Science · Computer Engineering · Information Technology (IT) · Apex - November 9, 2020"
228,Business Development Executive,Innovinity Medical Hub,"Full Time · Experienced · 4-7 Yrs of Exp · Business Development · Sales · Healthcare · Medical · Marketing · Sales Skills · English · Business Development · Sales/Retail - November 9, 2020"
229,Application Support Engineer,Wireless Dynamics,"Full Time · Experienced · 2-4 Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · DevOps · Engineering · SQL · Software · English · Software Engineering · Barcoding - November 15, 2020"
230,Business Development Executive - Sales, ,"Full Time · Experienced · 5+ Yrs of Exp · Business Development · Sales · Sales Skills · English · Sales Target · Marketing · Business · Business Development · Marketing/PR/Advertising - November 15, 2020"
231,Laravel Developer,As Good As New,"Full Time · Entry Level · 1-3 Yrs of Exp · Laravel · PHP · MySQL · SQL · API · REST · REST API · Testing · Design · Information Technology (IT) · Computer Science · IT/Software Development - October 28, 2020"
232,Business Development Manager,Nahdet Misr Publishing Group,"Full Time · Manager · 8-11 Yrs of Exp · Business Development · Business · Sales · Business Administration · Business Development Management · Sales Skills · Sales Target · Marketing · CRM · English - October 27, 2020"
233,Junior Business Development Engineer,Asass,"Full Time · Entry Level · 1-3 Yrs of Exp · Engineering · Negotiation · Communication · Business Development · BD · Information Technology (IT) · Computer Science · Sales · Sales Engineer · Skills - October 22, 2020"
234,Senior PHP Developer (Laravel),Our Education,"Full Time · Experienced · 3-5 Yrs of Exp · PHP · Computer Science · Laravel · HTML5 · CSS3 · MVC · Programming · javaScript · Information Technology (IT) · Servers · Git · Front-End - October 14, 2020"
235,Operation Manager,Smartistic Education Technology Co,"Full Time · Manager · 2+ Yrs of Exp · Females Preferred · Operations · Management · Administration · Business Administration · Marketing · English · IT · Business · Information Technology - October 12, 2020"
236,Sales Engineer,Madar plus,"Full Time · Entry Level · 1-3 Yrs of Exp · Project Management · Engineering · Sales · Marketing · Sales Skills · Sales Target · Communication Skills · Computer Skills · Construction · Sales/Retail - October 25, 2020"
237,WordPress Developer,Digital Experts,"Full Time · Experienced · 2-3 Yrs of Exp · Information Technology (IT) · Computer Science · Communication Skills · WordPress · PHP · javaScript · HTML5 · jQuery · CSS3 · Front-End · Back-End - November 1, 2020"
238,Export Sales (Business Development) Manager -..., ,Full Time · Manager · 5+ Yrs of Exp · Microsoft Excel · Administration · Logistics · Supply Chain · Purchasing · Foreign Trade · Export · Sales · Sales Skills · Agricultural · Business Development - New
239,Power BI Developer,Global Brands,"Full Time · Experienced · 3+ Yrs of Exp · Information Technology (IT) · Power BI · BI · Business Intelligence · Computer Science · SQL · DAX · Business · Engineering · IT/Software Development - October 20, 2020"
240,Unity VR / AR Developer, ,"Full Time · Experienced · 4-6 Yrs of Exp · Virtual Reality · VR · AR · Computer Science · Unity · Information Technology (IT) · 3D · C# · Kinect · Leap Motion · C++ · Engineering - October 9, 2020"
241,Business Development Manager,Duob Recruitment,"Full Time · Manager · 3-7 Yrs of Exp · Business Development · Sales · Sales Target · Communication Skills · Lead Generation · Technologies · software · Computer Skills · Business · Marketing - November 20, 2020"
242,Senior Vue Developer,Our Education,"Full Time · Experienced · 3-5 Yrs of Exp · Information Technology (IT) · CSS · javaScript · HTML5 · Vue · CSS3 · React · SASS · LESS · Computer Science · Development · SEO · Engineering - October 14, 2020"
243,PHP & WordPress Developer - Mansoura,PICOOK SOLUTIONS,"Full Time · Part Time · Experienced · 3+ Yrs of Exp · WordPress · PHP · javaScript · MySQL · AJAX · HTML · CSS · Backend · Jquery · Laravel · API · fullstack · Information Technology (IT) - September 29, 2020"
244,Technical System Engineer,Tafeel,"Full Time · Experienced · 4+ Yrs of Exp · IT · Computer Science · Computer Engineering · Technical Support · Troubleshooting · Customer Service · Customer Support · Information Technology (IT) - October 25, 2020"
245,Business Development Specialist,Cairo Shades,"Full Time · Experienced · 2-5 Yrs of Exp · Sales Skills · Sales · Customer Service · Communication Skills · English · Computer Skills · Presentation Skills · Sales Target · Construction · Arts - October 3, 2020"
246,Sales Engineer,Madar plus,"Full Time · Entry Level · 1-3 Yrs of Exp · Project Management · Engineering · Sales · Marketing · Sales Skills · Sales Target · Communication Skills · Computer Skills · Construction · Sales/Retail - October 25, 2020"
247,Key Accounts Sales Admin,Talabat,"Full Time · Entry Level · 1-3 Yrs of Exp · Sales · Sales Skills · Sales Target · Marketing · Marketing Campaigns · Customer Service · Customer Care · Account Managment · Customer Relations · CRM - October 13, 2020"
248,Chief Accountant,Summer Moon Co.,"Full Time · Manager · 7+ Yrs of Exp · Accounting · Finance · Financial Analysis · Financial Management · Manager · MS Office · Computer Skills · Accounting Software · Accounting Manager · FMCG - October 23, 2020"
249,ERP Application Manager,BituNil,"· Manager · 10-20 Yrs of Exp · Computer Science · Project Management · Computer Engineering · Information Technology (IT) · ERP · Implementation · Software · Analysis · Business · Oracle - November 3, 2020"
250,Graphic Designer,Zaytoun development,"Full Time · Experienced · 3+ Yrs of Exp · Females Only · Graphic Design · Design · Adobe Photoshop · Adobe Illustrator · Real Estate · Creative/Design/Art · Media/Journalism/Publishing - October 6, 2020"
251,Mobile Application Developer,Egybell,"Full Time · Experienced · 2-3 Yrs of Exp · Mobile Development · Computer Science · Android · iOS · Mobile Application · Flutter · Creative/Design/Art · IT/Software Development - October 18, 2020"
252,Testing Automation Engineer - Alexandria,Softxpert Incorporation,"Full Time · Entry Level · 1-5 Yrs of Exp · Computer Science · Information Technology (IT) · Software Testing · Software Development · Software · Testing · Communication Skills · Development - November 18, 2020"
253,E-Learning Content Developer, ,"Full Time · Experienced · 3-7 Yrs of Exp · E-Learning · Adobe Indesign · Adobe Photoshop · Learning · storyline · Training · Development · Editing · Design · Graphic Design · Microsoft Office - October 7, 2020"
254,.Net Developer-Banha,Z2 Data,"Full Time · Entry Level · 1+ Yrs of Exp · MVC · ASP.Net · Information Technology (IT) · Computer Science · .NET · C# · javaScript · SQL · jQuery · Web Development · CSS3 · XML · HTML5 · SOAP - October 26, 2020"
255,Senior BI Developer,MigrationIT.com,"Full Time · Experienced · 3-6 Yrs of Exp · Information Technology (IT) · Business Intelligence · Data Warehouse · Computer Science · BI · SQL · MS SQL · IT/Software Development - October 7, 2020"
256,Head of Business Development,CASHU,"Full Time · Senior Management · 7-10 Yrs of Exp · Business Development · Management · Planning · Market Research · Sales · Business Development · Operations/Management - November 4, 2020"
257,.Net Team Lead,National Technology,Full Time · Manager · 5-8 Yrs of Exp · javaScript · C# · MVC · ASP.NET · jQuery · Angular · Computer Science · Information Technology (IT) · Software Development · Engineering · Telecom · Oracle - New
258,Senior Network Engineer,QuadraTech for Information Technology,"Full Time · Experienced · 5+ Yrs of Exp · Networking · Networks · CCNP · CCNA · Switching · Security · CCSP · Engineering · Computer Science · Information Technology (IT) · Cisco Solution - October 19, 2020"
259,DevOps Engineer,Wireless Dynamics,"Full Time · Experienced · 2-4 Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · DevOps · Engineering · SQL · Software · English · Software Engineering - November 4, 2020"
260,IT Help Desk Specialist,Fawry Banking & Payment Technology Services,"Full Time · Entry Level · 0-2 Yrs of Exp · Males Preferred · Information Technology (IT) · Help Desk · MCSA · Computer Systems · Installation · Computer Science · Troubleshooting - November 11, 2020"
261,IT Technical Support Specialist,Softex,"Full Time · Experienced · 2-4 Yrs of Exp · Males Only · Information Technology (IT) · Technical Support · Computer Science · Troubleshooting · SQL · English · Computer · IT · Network · Engineering - October 6, 2020"
262,IT Help Desk Agent,PICO,"Full Time · Entry Level · 1-2 Yrs of Exp · IT · Communication Engineering · Computer Science · Help Desk · Software · Computer Hardware · Software Engineering · Software Development - September 27, 2020"
263,IT Specialist,Byotat Real Estate,"Full Time · Experienced · 3+ Yrs of Exp · Information Technology (IT) · Computer Science · Installation · Maintenance · Computer · Communication · Science · Skills · IS · IT/Software Development - November 16, 2020"
264,IT Specialist,Petrological Integrated Solutions,"Full Time · Entry Level · 1-2 Yrs of Exp · Computer Science · Maintenance · IT · Computer · Information Technology (IT) · Installation · English · Science · IS · Installation/Maintenance/Repair - November 19, 2020"
265,IT Corporate Sales Executive,CLS Learning Solutions,"Full Time · Experienced · 3-5 Yrs of Exp · Sales · Sales Skills · Sales Target · IT Sales · MCSA · CISCO · MCSD · Information Security · Computer Science · Information Technology (IT) · Corporate - November 22, 2020"
266,IT Technical Support Specialist,Proserv.,"Full Time · Entry Level · 1-2 Yrs of Exp · Information Technology (IT) · Software Engineering · Software Development · Computer Science · Customer Service · Customer Care · Customer Support · English - October 7, 2020"
267,IT Specialist - Cairo,Mishkat Nour,"Part Time · Experienced · 3-5 Yrs of Exp · Information Technology (IT) · Computer Science · Maintenance · Installation · Engineering · Telecommunication · Electronics · Operations · MS Office - October 21, 2020"
268,IT Technical Support Engineer- Mahalla Kubra,Aktan Misr,"Full Time · Entry Level · 1-3 Yrs of Exp · Information Technology (IT) · Computer Science · Technical Support · Engineering · Computer Engineering · MCSA · CCNA · Hardware · Computer - November 4, 2020"
269,IT Projects Manager, ,Full Time · Manager · 5-7 Yrs of Exp · Project Management · Computer Science · Engineering · PMP · Information Technology (IT) · Software · Management · Project · ERP · SAP - New
270,IT Help Desk Specialist,Xceed,"Full Time · Entry Level · 1-2 Yrs of Exp · Information Technology (IT) · Computer Science · Hardware · Software · Technical Support · Installation · Maintenance · English · Help Desk · Configuring - November 11, 2020"
271,IT Manager,Ameco Medical Industries,"Full Time · Manager · 8+ Yrs of Exp · Information Technology (IT) · Software Development · Software · Software Engineering · Computer Science · Manufacturing · ERP · CRM · Infrastructure · SCM - October 14, 2020"
272,SR. IT Support Engineer,360Imaging,"Full Time · Experienced · 2-5 Yrs of Exp · CCNA · Information Technology (IT) · Engineering · Software Development · Software Engineering · Linux · Mikrotik · VOIP · Computer Systems · Business - November 5, 2020"
273,IT Help Desk Specialist - Damietta,MTS,"Full Time · Experienced · 3+ Yrs of Exp · Help Desk · Information Technology (IT) · Computer Science · Windows 10 · Microsoft Certified Solutions Associate · ITIL Foundation · CompTIA A+ · TCP/IP - November 10, 2020"
274,Senior IT Specialist - Cairo,Orchidia Pharmaceutical Industries,"Full Time · Experienced · 2-4 Yrs of Exp · Computer Science · Computer Engineering · Information Technology (IT) · Cisco · VMware · Microsoft · Disaster Recovery Planning · Firewalls · Cisco Routers - November 19, 2020"
275,Software Business Analyst - Mansoura,AlQemam For Programming,"Full Time · Entry Level · 1+ Yrs of Exp · Software Analysis · Analysis · Software Development · Programming · Scripting · Software · Computer Science · Computer Engineering · Software Engineering - November 17, 2020"
276,IT Manager ( El Katib Hospital ),Cleopatra Hospitals Group,"Full Time · Manager · 5-10 Yrs of Exp · SQL · MySQL · ICU · Information Technology (IT) · Testing · Microsoft Office · Computer Skills · Computer Science · Software Testing · Software · ERP - November 2, 2020"
277,IT Help Desk, ,"Full Time · Experienced · 3-5 Yrs of Exp · Males Only · Information Technology (IT) · Computer Science · Help Desk · Installation · Computer Skills · English · Arabic · Engineering · IT - November 10, 2020"
278,IT Officer - Alexandria,Egyptian British International School,"Full Time · Experienced · 2+ Yrs of Exp · Information Technology (IT) · Computer Hardware · Computer Maintenance · Software Development · Computer Science · Communication Skills · Computer Skills - November 2, 2020"
279,Senior Full Stack Developer, ,"Full Time · Work From Home · Experienced · 4+ Yrs of Exp · Angular · javaScript · .NET · React · Agile · machine learning · Python · video processing · Information Technology (IT) · C# · SQL - October 20, 2020"
280,.NET Team Leader - Cairo,Unicom Group,"Full Time · Manager · 4-6 Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · C# · MVC · .NET · javaScript · Agile · Web Development · Angular · Git · Full Stack - November 16, 2020"
281,Front End Angular Developer R2,YELO,"Full Time · Experienced · 2+ Yrs of Exp · Information Technology (IT) · Computer Science · javaScript · Angular · HTML5 · CSS3 · Bootstrap · Agile · Git · SASS · JSON · Front-End · OOP · SOA - October 12, 2020"
282,Senior Quality Control Engineer,Tafeel,"Full Time · Experienced · 2-5 Yrs of Exp · Software · Software Testing · Testing · QA · Quality Assurance · Information Technology (IT) · Computer Science · Computer Engineering · SDLC · .NET - November 11, 2020"
283,Service Desk Specialist,Rashideen Egypt for Trade,"Full Time · Entry Level · 1-2 Yrs of Exp · Females Only · Information Technology (IT) · Help Desk · MCSA · MCSE · CCNA · Computer Science · Maintenance · Installation · Repair · Microsoft Office - October 15, 2020"
284,SharePoint Lead,Excel Systems,"Full Time · Manager · 5+ Yrs of Exp · ASP.NET · SharePoint · MVC · TSQL · Microsoft SQL Server · jQuery · javaScript · CSS3 · HTML5 · .NET · Computer Engineering · Software Engineering · MSSQL - November 4, 2020"
285,Senior .NET / Back-End Engineer,Infinity Business Solutions,"Full Time · Experienced · 8+ Yrs of Exp · Information Technology (IT) · Computer Science · Angular · .NET · .NET Core · APIs · SDK · Software Development · Software Engineering · Core · Technology - November 19, 2020"
286,Customer Support Specialist,FaceGraph,"Full Time · Experienced · 3-5 Yrs of Exp · Customer Support · Customer Service · Customer Care · English · Sales · Software · Communication · Information Technology · Technology · CS · Support - October 29, 2020"
287,Associate Presales Engineer,Sumerge,"Full Time · Entry Level · 0-2 Yrs of Exp · Information Technology (IT) · Computer Science · Computer Engineering · Software Engineering · Presales · Sales · Software Development · Engineering - November 11, 2020"
288,Corporate Sales Executive, ,"Full Time · Experienced · 2-4 Yrs of Exp · Sales Skills · B2B · Software · IT · Sales Target · CRM · CRM Software · English · Sales · Information Technology · Corporate Sales · Customer Service - November 16, 2020"
289,Product Development Specialist,Easy Cash,"Full Time · Entry Level · 1-3 Yrs of Exp · Product · Product Development · English · Arabic · Analysis · Branding · Marketing/PR/Advertising · Sales/Retail - October 27, 2020"
290,Business Development Manager,TACC Network,"Full Time · Manager · 3-5 Yrs of Exp · Business Development · Sales Skills · Marketing · Management · Business · Advertising · Communication · Negotiation · Sales · English · BDM · French - November 8, 2020"
291,Business Strategist - Saudi Arabia - Riyadh,Enwan,"Full Time · Entry Level · 1-3 Yrs of Exp · Administration · Documentation · Entrepreneurship · Agile · Software · Software Development · Information Technology (IT) · Startup · Computer Science - October 14, 2020"
292,Graphic Designer,Bouri Group,"Full Time · Experienced · 3+ Yrs of Exp · Graphic Design · 3D · Packaging · Design · 2D · Adobe Illustrator · Adobe Photoshop · Marketing · In design · Adobe Indesign · Illustrator · Photoshop - October 1, 2020"
293,Market Research Senior Specialist,Nahdet Misr Publishing Group,Full Time · Experienced · 4-5 Yrs of Exp · Market Research · Marketing · Research · Social Media · Marketing/PR/Advertising - New
294,.Net Technical Lead,MigrationIT.com,"Full Time · Manager · 10+ Yrs of Exp · Information Technology (IT) · .NET · Computer Science · Software Development · Angular · Agile · Software · Computer · Solution Designs · Architecture - November 8, 2020"
295,Business Development Manager, ,"Full Time · Manager · 3-7 Yrs of Exp · Females Only · Sales · Business Development · Sales Skills · Business · B2B · B2B Sales · English · Business Development · Sales/Retail - October 29, 2020"
296,Marketing Executive,ITPS,"Full Time · Experienced · 2-4 Yrs of Exp · Marketing · Sales · Management · Market Research · Corporate Sales · Online Market · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing - October 22, 2020"
297,Senior .Net Developer - Cairo,GetTechForce.com,"Full Time · Manager · 5+ Yrs of Exp · .Net · Computer Science · C# · ASP.NET · javaScript · SQL · VP · Information Technology (IT) · .NET · CSS · HTML5 · NuGet · IOC · Lync · JQuery · SCSS - September 29, 2020"
298,Pre-Sales Engineer - Network & Security,MisrTech,"Full Time · Experienced · 3+ Yrs of Exp · Information Technology (IT) · Computer Science · Engineering · Security · Networks · Cisco · Pre-Sales · English · Fortinet · Information Security - November 11, 2020"
299,Sales Manager- Alexandria,Stylish Eve,"Full Time · Manager · 5+ Yrs of Exp · Sales Skills · Sales Target · Analytical · Electronic Health · Beauty Products · Sales · English · Management · Sales Management · Operations/Management - November 8, 2020"
300,Technical Product Manager,Nagwa,"Full Time · Manager · 8+ Yrs of Exp · Software Development · Product Management · Technical · Leadership · Information Technology (IT) · Computer Science · Engineering · Telecom · Project Management - October 25, 2020"
301,Chief Technical Officer (CTO) Alexandria,Caduceus Lane,"Full Time · Manager · 4+ Yrs of Exp · Information Technology (IT) · CTO · Software Development · Software · Design · Computer Science · Engineering · Git · Angular · Backend · Microsoft Office - November 15, 2020"
302,NopCommerce Web Application Support Engineer,Crystal Mind,"Full Time · Experienced · 4-6 Yrs of Exp · Males Only · Customer Support · Information Systems · E-Commerce · English · Application · Application Support · Information Technology (IT) · NopCommerce - November 9, 2020"
303,Technical Pre-Sales Consultant,TurnDigital,"Full Time · Experienced · 3+ Yrs of Exp · Information Technology (IT) · Software Engineering · Software Development · Presales · IT Sales · Sales · Communication Skills · Planning · Training - November 5, 2020"
304,Senior Graphic Designer,Arabian Systems,"Full Time · Experienced · 3-6 Yrs of Exp · Graphic · Graphic Design · Adobe Illustrator · Adobe Photoshop · Design · Illustrator · Photoshop · InDesign · Software · English · 3D · CMYK - November 15, 2020"
305,Associate Quality Engineer,Sumerge,"Full Time · Entry Level · 0-2 Yrs of Exp · Computer Science · Software Engineering · Testing · Software Testing · Software Development · Writing Defects · QA · QC · Quality Control · ISTQB - October 19, 2020"
306,Scrum Master,Pharous LLC,Full Time · Experienced · 2-4 Yrs of Exp · Scrum · Agile · Information Technology (IT) · Software · Computer Science · Software Development · Master · IT/Software Development - New
307,Senior DevOps Engineer,Aqarmap.com,"Full Time · Experienced · 3+ Yrs of Exp · Startup · Software Engineering · Engineering · Software Development · DevOps · AWS · Docker · Varnish · Shell Script · Go Language · Nginx · RabbitMQ - November 19, 2020"
308,Product Owner,Pharous LLC,Full Time · Experienced · 2-4 Yrs of Exp · Information Technology (IT) · Agile · Business Analysis · Software Development · Computer Science · Product · Software · Research · Analytical Skills - New
309,Dynamics CRM Technical Lead,Xceed,"Full Time · Work From Home · Manager · 10+ Yrs of Exp · Information Technology (IT) · Computer Science · Software · IT · Configuring · Computer Software · English · Customer Support · CRM · C# - October 26, 2020"
310,Chief Technology Officer (CTO), ,"Full Time · Senior Management · 5+ Yrs of Exp · Computer Science · CTO · Information Technology (IT) · Software Development · AWS · Devops · Integrations · Agile · MBA · Node · Frontend · Backend - October 15, 2020"
311,Business Development Engineer,Arab Consulting Engineers Moharram-Bakhoum,"Full Time · Experienced · 8-15 Yrs of Exp · Business Development · Engineering · Sales · Marketing · Business · Management · Construction · Architecture · Civil · Business Development - October 15, 2020"
312,Senior Quality Control Engineer,Tafeel,"Full Time · Experienced · 2-5 Yrs of Exp · Software · Software Testing · Testing · QA · Quality Assurance · Information Technology (IT) · Computer Science · Computer Engineering · SDLC · .NET - November 11, 2020"
313,Product Manager,CoatConnect,"Full Time · Experienced · 3+ Yrs of Exp · Product Management · Healthcare · Marketing · Information Technology (IT) · Sales · Management · Pharmacy · Product · Software · Communication Skills - November 9, 2020"
314,Enterprise Architecture Engineer,Altayar recruitment,"Full Time · Experienced · 3+ Yrs of Exp · Software Engineering · Information Technology (IT) · Project Management · Software Development · Computer Science · System Architecture - October 13, 2020"
315,Full Stack Team Lead, ,"Full Time · Manager · 5-12 Yrs of Exp · Full Stack · Backend · Team Lead · API · Information Technology (IT) · Computer Science · Software Development · Engineering · Telecom Engineering - November 18, 2020"
316,Business System Analyst,BrandMark - Marketing Solutions,"Full Time · Experienced · 2-5 Yrs of Exp · Business Analysis · System Analysis · Information Technology (IT) · Coding Languages · Computer Science · IT · analysis · Computer Science · UML - November 22, 2020"
317,Front End Intern - Grupo TCS,AIESEC - MANSOURA,"Internship · Entry Level · Information Technology (IT) · Computer Science · Software Development · javaScript · JS · Node.js · Node · English · Computer · PHP · Computer Engineering · Front End - November 6, 2020"
318,System Administrator,Master Linux,"Full Time · Experienced · 3-12 Yrs of Exp · Information Technology (IT) · Linux · System Administration · VMWare · MCSA · MCITP · Operating system · Engineering · Hardware · Software · Networking - October 27, 2020"
319,Senior Quality Control Tester,Glamera,"Full Time · Experienced · 3-5 Yrs of Exp · Quality Control · Quality Assurance · Computer Science · Testing · QA · Agile · SQL · Automation Testing · Automation · Information Technology (IT) - November 18, 2020"
320,Business Analyst,Sumerge,"Full Time · Experienced · 2-5 Yrs of Exp · Software Development · Business Analysis · Computer Science · Engineering · Software Engineering · Software · Computer Engineering · Analysis · English - October 19, 2020"
321,Technology CTO - Saudi Arabia - Riyadh,Enwan,"Full Time · Manager · 2-10 Yrs of Exp · Administration · Documentation · Entrepreneurship · Agile · Software · Software Development · Information Technology (IT) · Startup · Computer Science - October 14, 2020"
322,Business Development Specialist, ,"Full Time · Part Time · Entry Level · 1-3 Yrs of Exp · Business Development · Microsoft Office · Social Media · Communication Skills · Customer Service · Customer Care · Customer Support · Marketing - September 28, 2020"
323,Technical Team Lead,3D Diagnostix,"Full Time · Manager · 5-8 Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · Backend · Front End · Java · Angular · javaScript · Software · Engineering · SQL - November 5, 2020"
324,Technical Project Lead - Cairo,Unicom Group,"Full Time · Manager · 10+ Yrs of Exp · Information Technology (IT) · Computer Science · Project Management · Software Development · .NET · Web Development · Software · Management · Angular - November 16, 2020"
325,Oracle ERP Consultant (R12) - Alexandria, ,Full Time · Entry Level · 1-2 Yrs of Exp · Oracle · ERP · Information Technology (IT) · Software Engineering · Finance · Supply Chain · OPM · Linux · Oracle Developer · XML · Computer Science - New
326,Solution Architect,BlueCloud,"Full Time · Experienced · 10+ Yrs of Exp · Information Technology (IT) · .NET · Associate Solution · C# · Microsoft SQL Server · WCF · Web APIs · Microsoft Solutions · Azure · Hybrid Cloud - November 22, 2020"
